site_id,element_symbol,percentage,quantity,earth_exists,earth_abundance_ppm,space_vs_earth_ratio,rarity_classification,site_temperature,site_pH,site_depth
DRILL_01_785f65,Al,19.092580073692776,54.634556259600856,True,82300.0,0.6638463701045061,abundant,-101.7921845359026,8.401777532585097,2.3665236597304284
DRILL_01_785f65,Sm,17.26665382210426,49.40955942139196,True,7.05,7008.448144878293,abundant,-101.7921845359026,8.401777532585097,2.3665236597304284
DRILL_01_785f65,Yb,16.334372340506693,46.74178037531593,True,3.2,14606.806367286228,abundant,-101.7921845359026,8.401777532585097,2.3665236597304284
DRILL_01_785f65,Ti,14.581365780198949,41.72544758148108,True,5650.0,7.385034970173642,abundant,-101.7921845359026,8.401777532585097,2.3665236597304284
DRILL_01_785f65,Po,10.814074739514957,30.945119647063233,False,,,abundant,-101.7921845359026,8.401777532585097,2.3665236597304284
DRILL_01_785f65,I,10.582451067288417,30.28231469862398,True,0.45,67294.03266360884,abundant,-101.7921845359026,8.401777532585097,2.3665236597304284
DRILL_01_785f65,He,5.346626890625859,15.299691635573428,True,0.008,1912461.4544466785,common,-101.7921845359026,8.401777532585097,2.3665236597304284
DRILL_01_785f65,Ga,2.8983154754858043,8.29370254267967,True,19.0,436.51066014103526,uncommon,-101.7921845359026,8.401777532585097,2.3665236597304284
DRILL_01_785f65,Eu,1.5323137753990326,4.384807231200352,True,2.0,2192.4036156001757,uncommon,-101.7921845359026,8.401777532585097,2.3665236597304284
DRILL_01_785f65,Mg,1.1129443341723988,3.1847565705867082,True,23300.0,0.1366848313556527,uncommon,-101.7921845359026,8.401777532585097,2.3665236597304284
DRILL_01_785f65,Ni,0.4028233938625385,1.1527031595373864,True,84.0,13.722656661159363,rare,-101.7921845359026,8.401777532585097,2.3665236597304284
DRILL_01_785f65,N,0.035478307148301934,0.101523291268533,True,19.0,5.343331119396474,ultra_rare,-101.7921845359026,8.401777532585097,2.3665236597304284
DRILL_02_139c80,H,24.045541047739295,56.89629500991855,True,1400.0,40.640210721370394,abundant,-198.25341208639483,8.669138121017127,2.4562458802530527
DRILL_02_139c80,Cs,21.377444733241056,50.583074828131856,True,3.0,16861.02494271062,abundant,-198.25341208639483,8.669138121017127,2.4562458802530527
DRILL_02_139c80,N,17.703981473504683,41.89096642769692,True,19.0,2204.7877067208906,abundant,-198.25341208639483,8.669138121017127,2.4562458802530527
DRILL_02_139c80,Mg,16.287004176290182,38.538130317059554,True,23300.0,1.6539970093158607,abundant,-198.25341208639483,8.669138121017127,2.4562458802530527
